b;area;t;x;SHIP;loading_condition_id
0.0;0.0;0.0;0.0;68;
26.86;19.5;6.6;8.61;68;
28.17;54.7;6.6;17.22;68;
28.4;96.0;6.6;25.83;68;
28.4;129.4;6.6;34.44;68;
28.4;155.2;6.6;43.05;68;
28.4;173.4;6.6;51.66;68;
28.4;182.4;6.6;60.269999999999996;68;
28.4;184.7;6.6;68.88;68;
28.4;185.1;6.6;77.49;68;
28.4;179.6;6.6;86.1;68;
28.4;174.3;6.6;94.71;68;
28.4;157.9;6.6;103.32;68;
28.05;136.5;6.6;111.92999999999999;68;
26.72;115.6;6.6;120.53999999999999;68;
24.34;92.4;6.6;129.14999999999998;68;
20.82;73.2;6.6;137.76;68;
15.96;52.5;6.6;146.37;68;
10.71;34.9;6.6;154.98;68;
5.44;23.0;6.6;163.58999999999997;68;
3.07;20.0;6.6;172.2;68;
0.85;0.3;0.0;0.0;69;
23.23;19.1;6.6;8.61;69;
26.47;54.2;6.6;17.22;69;
27.94;91.4;6.6;25.83;69;
28.4;126.5;6.6;34.44;69;
28.4;151.9;6.6;43.05;69;
28.4;170.9;6.6;51.66;69;
28.4;183.7;6.6;60.269999999999996;69;
28.4;184.7;6.6;68.88;69;
28.4;185.1;6.6;77.49;69;
28.4;179.6;6.6;86.1;69;
28.4;174.3;6.6;94.71;69;
28.4;157.9;6.6;103.32;69;
28.05;136.5;6.6;111.92999999999999;69;
26.72;115.6;6.6;120.53999999999999;69;
24.34;92.4;6.6;129.14999999999998;69;
20.82;73.2;6.6;137.76;69;
15.96;52.5;6.6;146.37;69;
10.71;34.9;6.6;154.98;69;
5.44;23.0;6.6;163.58999999999997;69;
3.07;20.0;6.6;172.2;69;
22.67;57.1;3.87;0.0;131;
29.98;183.8;14.4;10.9;131;
32.26;328.7;14.4;21.8;131;
32.26;412.4;14.4;32.7;131;
32.26;447.2;14.4;43.6;131;
32.26;458.2;14.4;54.5;131;
32.26;463.8;14.4;65.4;131;
32.26;463.8;14.4;76.3;131;
32.26;463.8;14.4;87.2;131;
32.26;463.8;14.4;98.10000000000001;131;
32.26;463.8;14.4;109.0;131;
32.26;463.8;14.4;119.9;131;
32.26;463.8;14.4;130.8;131;
32.26;463.8;14.4;141.70000000000002;131;
32.26;463.8;14.4;152.6;131;
32.26;463.8;14.4;163.5;131;
32.26;463.8;14.4;174.4;131;
32.12;457.1;14.4;185.3;131;
29.89;422.2;14.4;196.20000000000002;131;
22.99;328.2;14.4;207.1;131;
0.01;111.4;13.99;218.0;131;
9.75;10.3;1.91;0.0;134;
20.22;72.3;11.2;9.55;134;
26.24;157.3;11.2;19.1;134;
29.78;231.0;11.2;28.650000000000002;134;
31.62;287.8;11.2;38.2;134;
32.2;325.6;11.2;47.75;134;
32.2;346.3;11.2;57.300000000000004;134;
32.2;355.4;11.2;66.85000000000001;134;
32.2;358.7;11.2;76.4;134;
32.2;359.1;11.2;85.95;134;
32.2;359.1;11.2;95.5;134;
32.2;359.1;11.2;105.05000000000001;134;
32.2;359.1;11.2;114.60000000000001;134;
32.2;359.1;11.2;124.15;134;
32.2;359.1;11.2;133.70000000000002;134;
32.2;359.0;11.2;143.25;134;
32.2;356.3;11.2;152.8;134;
30.96;334.5;11.2;162.35000000000002;134;
27.02;281.8;11.2;171.9;134;
18.39;189.2;11.2;181.45000000000002;134;
0.01;59.9;11.2;191.0;134;
11.74;16.9;2.51;0.0;135;
21.55;84.9;11.8;9.55;135;
27.18;173.4;11.8;19.1;135;
30.24;249.0;11.8;28.650000000000002;135;
31.78;306.8;11.8;38.2;135;
32.2;344.9;11.8;47.75;135;
32.2;365.6;11.8;57.300000000000004;135;
32.2;374.7;11.8;66.85000000000001;135;
32.2;378.0;11.8;76.4;135;
32.2;378.4;11.8;85.95;135;
32.2;378.4;11.8;95.5;135;
32.2;378.4;11.8;105.05000000000001;135;
32.2;378.4;11.8;114.60000000000001;135;
32.2;378.4;11.8;124.15;135;
32.2;378.4;11.8;133.70000000000002;135;
32.2;378.4;11.8;143.25;135;
32.2;375.7;11.8;152.8;135;
30.96;353.1;11.8;162.35000000000002;135;
27.02;298.1;11.8;171.9;135;
18.39;200.2;11.8;181.45000000000002;135;
0.01;60.8;11.8;191.0;135;
0.0;0.0;0.0;0.0;136;
7.78;23.1;7.81;9.55;136;
17.56;79.7;7.73;19.1;136;
24.53;133.1;7.64;28.650000000000002;136;
29.03;176.5;7.56;38.2;136;
31.43;206.6;7.48;47.75;136;
32.2;223.6;7.39;57.300000000000004;136;
32.2;230.0;7.3;66.85000000000001;136;
32.2;230.5;7.22;76.4;136;
32.2;228.2;7.14;85.95;136;
32.2;225.5;7.05;95.5;136;
32.2;222.7;6.96;105.05000000000001;136;
32.2;220.0;6.88;114.60000000000001;136;
32.2;217.2;6.8;124.15;136;
32.2;214.5;6.71;133.70000000000002;136;
32.2;211.7;6.62;143.25;136;
32.2;205.9;6.54;152.8;136;
30.96;187.3;6.45;162.35000000000002;136;
26.99;151.2;6.37;171.9;136;
18.82;96.8;6.28;181.45000000000002;136;
7.29;31.1;6.2;191.0;136;
13.92;22.0;2.2;0.0;145;
20.84;76.8;10.25;8.6;145;
26.8;148.1;10.4;17.2;145;
28.88;207.3;10.4;25.799999999999997;145;
29.2;249.4;10.4;34.4;145;
29.2;276.0;10.4;43.0;145;
29.2;284.6;10.4;51.599999999999994;145;
29.2;295.4;10.4;60.199999999999996;145;
29.2;300.1;10.4;68.8;145;
29.2;301.2;10.4;77.39999999999999;145;
29.2;301.4;10.4;86.0;145;
29.2;301.4;10.4;94.6;145;
29.2;301.6;10.4;103.19999999999999;145;
29.2;301.2;10.4;111.8;145;
29.2;297.2;10.4;120.39999999999999;145;
28.36;283.4;10.4;129.0;145;
25.86;253.3;10.4;137.6;145;
21.2;204.8;10.4;146.2;145;
14.33;142.3;10.4;154.79999999999998;145;
6.08;79.1;10.4;163.4;145;
